model,clip,ground_truth,hypothesis,wer,latency_s
tiny.en,2428-83705-0037,i cannot pretend to explain why except on the supposition that romance is dead at least in that circle of society in which the snellings move,"I cannot pretend to explain why, except on the supposition that romance is dead. At least in that circle of society in which the snowings move.",0.0385,0.0616
tiny.en,6345-93302-0001,her hands should have been full of bluebells and she should have held them up to his face in maidenly defence as he sprang forward to take her in his arms,"Her hands should have been full of blue bells, and she should have held them up to his face and made and lead a fence as he sprang forward to take her in his arms.",0.2581,0.0657
tiny.en,2035-147961-0014,from our bench we could see what a hollow case his body was,From our bench we could see what a hollow case's body was.,0.1538,0.0364
tiny.en,6313-66129-0004,and we've got a surprise for you announced stacy swelling with pride,and we've got a surprise for you at Mount Stacey swelling with pride.,0.2500,0.0385
tiny.en,84-121550-0010,nor even thus our way continued far before the lady wholly turned herself unto me saying brother look and listen,"Nor even thus our way continued far before the lady wholly turned herself unto me, saying, Brother, look and listen.",0.0000,0.0534
tiny.en,6345-93302-0019,those four true words wounded her more than all the rest,Those four true words wounded her more than all the rest.,0.0000,0.0334
tiny.en,3536-8226-0026,as he went about his eyes were ever cast downwards and he walked with a quick shuffling gait and he suspected others feeling that he himself was suspected,"As he went about, his eyes were ever cast downwards, and he walked with a quick shuffling gate, and he suspected others, feeling that he himself was suspected.",0.0357,0.0659
tiny.en,6319-64726-0019,the violins and haut boys played old but excellent pieces of music and after supper to lose no time the grand almoner married the royal lovers in the chapel of the castle,"The violins and ho-boys played old but excellent pieces of music, and after supper to lose no time, the grand alminer married the royal lovers and the chapel of the castle.",0.1250,0.0751
tiny.en,7850-286674-0002,they thought the trouble came from bad bringing up or no bringing up at all,They thought the trouble came from bad bringing up or no bringing up at all.,0.0000,0.0395
tiny.en,2428-83705-0019,and of course i had my expectations and she had hers,"And, of course, I had my expectations and she had hers.",0.0000,0.0366
tiny.en,3752-4943-0004,about dawn the next morning mister north who amongst other vagaries not approved of by his bishop had a habit of prowling about the prison at unofficial hours was attracted by a dispute at the door of the dormitory,"About dawn the next morning, Mr. North, who, amongst other vagaries, not approved of by his bishop, had a habit of prowling about the prison that unofficial hours, was attracted by a dispute at the door of the dormitory.",0.0513,0.0990
tiny.en,6319-275224-0013,oh that she were once more climbing up the friendly fir pole,"Oh, that she were once more climbing up the friendly fur pole.",0.0833,0.0369
tiny.en,1462-170145-0018,only i'll do it more completely,Only I'll do it more completely.,0.0000,0.0286
tiny.en,5694-64025-0014,but as i said before reader a private soldier is but an automaton and knows nothing of what is going on among the generals and i am only giving the chronicles of little things and events that came under my own observation as i saw them then and remember them now,"But as I said before, reader, a private soldier is but an automaton, and knows nothing of what is going on among the generals, and I am only giving the chronicles of little things in events that came under my own observation as I saw them then and remember them now.""",0.0196,0.1117
tiny.en,1919-142785-0036,various dishes are frequently ornamented and garnished with its graceful leaves and these are sometimes boiled in soups although it is more usually confined in english cookery to the mackerel sauce as here given,Various dishes are frequently ornamented and garnished with its graceful leaves and these are sometimes boiled in soups. Although it is more usually confined in English cookery to the macro sauce as here given.,0.0294,0.0755
tiny.en,6319-275224-0010,echoed the flowers tremulously as with a sort of fearful pleasure they awaited his approach,"Echoed the flowers, tremulously, as with a sort of fearful pleasure, they awaited his approach.",0.0000,0.0458
tiny.en,777-126732-0079,the other day stevie got hold of one and there was a story in it of a german soldier officer tearing half off the ear of a recruit and nothing was done to him for it the brute,"The other day, Stevie got hold of one and there was a story in it of a German soldier officer tearing half off the ear of a recruit and nothing was done to him for it. The brute.",0.0000,0.0802
tiny.en,5694-64029-0022,the leaden hail storm swept them off the field they fell back and re formed,The lead and hail storm swept them off the field. They fell back and reformed.,0.2667,0.0401
tiny.en,5694-64038-0009,the voice appeared to be overhead,The voice appeared to be overhead.,0.0000,0.0272
tiny.en,1919-142785-0015,when it is sufficiently thick take it off as it should not boil,"when it is sufficiently thick, take it off as it should not boil.",0.0000,0.0376
tiny.en,3752-4944-0058,i'll report this to the government,I'll report this to the government.,0.0000,0.0282
tiny.en,777-126732-0018,you would call that lad a degenerate would you mumbled mister verloc,You would call that latitude measurement would you? My mom will miss to Verlock.,0.7500,0.0481
tiny.en,6241-61946-0021,he says tide replied my uncle translating the danish word for my information,"He says, tied, replied my uncle, translating the Danish word for my information.",0.0769,0.0399
tiny.en,84-121550-0034,whence she to me in those desires of mine which led thee to the loving of that good beyond which there is nothing to aspire to,"Wentz, she to me. In those desires of mine which led thee to the loving of that good, beyond which there is nothing to aspire to.",0.0385,0.0625
tiny.en,2803-154328-0022,round his body was rolled a long coil of flax rope,"Round his body was rolled along, coil a flax rope.",0.2727,0.0359
tiny.en,1272-135031-0017,however if we look sharp we may be able to discover one of these secret ways,"However, if we look sharp, we may be able to discover one of these secret ways.",0.0000,0.0429
tiny.en,84-121123-0027,i only wish to be alone you will excuse me will you not,I only wish to be alone. You will excuse me will you not?,0.0000,0.0381
tiny.en,6319-275224-0006,then the wind took another frolic round the garden and made up to the large white lily into whose refined ear he whispered a doubt as to the necessity or advantage of her thick powerful stem being propped up against a stupid ugly stick,"Then the wind took another frolick round the garden, and made up to the large white lily, and, to whose refined ear, he whispered a doubt as to the necessity or advantage of her thick, powerful stem being propped up against a stupid, ugly stick.",0.0682,0.1205
tiny.en,777-126732-0020,lombroso is an ass,Lembrozer was an ass.,0.5000,0.0283
tiny.en,84-121550-0001,all waters that on earth most limpid are would seem to have within themselves some mixture compared with that which nothing doth conceal,All waters that on earth most limp it are would seem to have within themselves some mixture compared with that which nothing does conceal,0.1304,0.0565
tiny.en,6313-76958-0001,even if i can't sing i can beat that,"Even if I can't sing, I can beat that.",0.0000,0.0335
tiny.en,251-118436-0018,i know now what brings me to the pyre,I know now what brings me to the pyre.,0.0000,0.0322
tiny.en,6319-64726-0015,they talked for four hours and had not then said half that was in their heads to say,They talked for four hours and had not been said half that was in their heads to say.,0.0556,0.0429
tiny.en,2078-142845-0034,muffins and crumpets should always be served on separate dishes and both toasted and served as expeditiously as possible,"Muffins and crumpets should always be served on separate dishes, and both toasted and served as expeditiously as possible.",0.0000,0.0589
tiny.en,6313-76958-0006,none of you will be fit for duty to morrow,None of you will be fit for duty tomorrow.,0.2000,0.0354
tiny.en,1919-142785-0026,in jamaica it flowers about august or september fading about the end of the year,"In Jamaica, it flowers about August or September, fading about the end of the year.",0.0000,0.0414
tiny.en,6295-64301-0014,they sat down and listened in silence,They sat down and listened in silence.,0.0000,0.0284
tiny.en,2277-149896-0012,she had not been able to get away this morning,She had not been able to get away this morning.,0.0000,0.0323
tiny.en,1462-170138-0018,i say sir harry the little girl's going famously to night isn't she,"I say, Sir Harry, the little girl's going famously tonight, isn't she?",0.1538,0.0410
tiny.en,6295-244435-0000,chapter seven the homecoming,Chapter 7. The Homecoming.,0.2500,0.0393
tiny.en,2035-147961-0004,the little house on the hillside was so much the color of the night that we could not see it as we came up the draw,The little house on the hillside was so much the color of the night that we could not see it as we came up the draw.,0.0000,0.0539
tiny.en,3752-4944-0069,in the midst of his arguments he found himself at the cupboard with the bottle at his lips in an attitude that was at once ludicrous and horrible,"In the midst of his arguments, he found himself at the cupboard, with the bottle that has lips. In an attitude that was at once ludicrous and horrible.",0.0714,0.0724
tiny.en,5338-284437-0015,perhaps you are trying to ridicule me she continued regarding the sailor's face closely,"Perhaps you are trying to ridicule me, she continued regarding the sailor's face closely.",0.0000,0.0399
tiny.en,2277-149896-0034,he rang again this time harder still no answer,He rang again this time harder. Still no answer.,0.0000,0.0332
tiny.en,6345-93306-0014,she said again you are kind,She said again you are kind.,0.0000,0.0274
tiny.en,1272-135031-0004,the king has fled in disgrace and your friends are asking for you,The king has flooded disgrace and your friends are asking for you.,0.1538,0.0349
tiny.en,1462-170142-0039,you see loving some one as i love you makes the whole world different,"You see, loving someone as I love you makes the whole world different.",0.1429,0.0378
tiny.en,2277-149874-0010,now now he said walking there there and there was a certain swedish accent noticeable in his voice,"Now now he said walking, they're there, and there was a certain Swedish accent noticeable in his voice.",0.0556,0.0465
tiny.en,1673-143397-0018,at the same time every avenue of the throne was assaulted with gold,"At the same time, every avenue of the throne was assaulted with gold.",0.0000,0.0368
tiny.en,6295-64301-0002,was there ever a happier man than joseph that night as he strode along the footpath,Was there ever a happier man than Joseph that night is he strode along the footpath?,0.0625,0.0424
tiny.en,3853-163249-0056,i could not love thee dear so much loved i not honor more,I could not love the deer so much. Love I not honor more.,0.2308,0.0369
tiny.en,3576-138058-0007,dost thou revolt against thy master and natural lord,Just a revolt against thy master and natural lord.,0.2222,0.0319
tiny.en,1988-148538-0013,they stand unmoved in their solitary greatness well assured that they are seen of all the world without any effort to show themselves off and that no one will attempt to drive them from that position,"They stand unmoved in their solitary greatness, while as sure that they are seen of all the world without any effort to show themselves off, and that no one will attempt to drive them from that position.",0.0833,0.1129
tiny.en,2035-152373-0011,the barren rock about three miles in length was covered with monastic buildings and its cemetery was already adorned with the tombs of saints and kings,The barren rock about three miles in length was covered with an monastic buildings and its cemetery was already adorned with the tombs of saints and kings.,0.0385,0.1002
tiny.en,3170-137482-0025,they did not know who i was and did not like to ask me whilst i thought it better to preserve a modest silence,"They did not know who I was, and did not like to ask me. Will I thought a better to preserve a modest silence?",0.0833,0.0565
tiny.en,6345-93302-0010,the keen wind thrust itself even inside the high collar of her jacket,The keen wind thrust itself even inside the high collar of her jacket.,0.0000,0.0360
tiny.en,5895-34615-0019,his hair having probably been dyed with some corrosive preparation had left it woolly and rough to the touch,His hair having probably been dyed with some corrosive preparation had left it woolly and rough to the touch.,0.0000,0.0502
tiny.en,6345-64257-0019,thus was she borne away captive of her dead neither willing nor unwilling of life and death equally careless,"Thus was she born away captive of her dead, neither willing nor unwilling, of life and death equally careless.",0.0526,0.0519
tiny.en,2428-83699-0024,i was chilled to the bone wet tired hungry,"I was chilled to the bone wet, tired, hungry.",0.0000,0.0344
tiny.en,1919-142785-0030,mode put the whole of the ingredients into a bottle and let it remain for a fortnight in a warm place occasionally shaking up the contents,"Mode. Put the hole of the ingredients into a bottle and let it remain for a fortnight in a warm place, occasionally shaking up the contents.",0.0385,0.0998
tiny.en,2086-149220-0019,my name is phoebe pyncheon said the girl with a manner of some reserve for she was aware that her new acquaintance could be no other than the daguerreotypist of whose lawless propensities the old maid had given her a disagreeable idea,"My name is Phoebe Pinchin, said the girl, with a manner of some reserve. For she was aware that her new acquaintance could be no other than the DeGaro typist, of whose lawless propensity the old maid had given her a disagreeable idea.",0.0952,0.1524
tiny.en,6241-61946-0018,in any case i shall trust rather to my own intelligence than theirs,"In any case, I shall trust rather to my own intelligence than theirs.",0.0000,0.0370
tiny.en,1272-141231-0021,every man who entered the twenties had his own training tricks,Every man who entered the 20s had his own training tricks.,0.0909,0.0353
tiny.en,2086-149220-0027,he exhibited a daguerreotype miniature in a morocco case,He exhibited at the Gerotype miniature in a Morocco case.,0.3333,0.0337
tiny.en,7850-281318-0019,you say you know all about it then go on and finish your nests by yourselves,"You say you know all about it, then go on and finish your nests by yourselves.",0.0000,0.0413
tiny.en,1462-170145-0008,he paused they never did to me,He paused. They never did to me.,0.0000,0.0297
tiny.en,1993-147149-0013,mary and alice drew near the fire and stood in quiet sorrow for some time,Marion Alice drew near the fire and stood in quiet sorrow for some time.,0.1333,0.0379
tiny.en,8297-275154-0011,he put down the empty glass taking no notice of his brother's question,"He put down the empty glass, taking no notice of his brother's question.",0.0000,0.0396
tiny.en,3081-166546-0026,he was late of course but when he did appear i almost forgot our usual greeting in my hurry to ask him if he had seen the evening papers,"He was late, of course, but when he did appear, I almost forgot our usual greeting in my hurry to ask him if he had seen the evening papers.",0.0000,0.0648
tiny.en,1673-143396-0006,nor could it seem strange or incredible that the first of these aeons the logos or word of god of the same substance with the father should descend upon earth to deliver the human race from vice and error and to conduct them in the paths of life and immortality,"Nor could it seem strange or incredible that the first of these eons, the logos, or word of God, of the same substance with the Father, should descend upon earth to deliver the human race from vice and error, and to conduct them in the paths of life and immortality.",0.0200,0.1705
tiny.en,6295-64301-0026,that enchantment had possessed him usurping as it were the throne of his life and displacing it when it ceased he was not his own master,"That enchantment had possessed him, a serpent as it were the throne of his life and displacing it. When it ceased, he was not his own master.",0.0769,0.0683
tiny.en,5694-64029-0024,i saw and felt that he was not fighting for glory but that he was fighting for his country because he loved that country and he was willing to give his life for his country and the success of our cause,"I saw and felt that he was not fighting for glory, but that he was fighting for his country because he loved that country. And he was willing to give his life for his country and the success of our cause.",0.0000,0.0950
tiny.en,6241-61943-0009,the valkyrie kept off the coast steering to the westward,"The Volckery kept off the coast, steering to the westward.",0.1000,0.0369
tiny.en,6319-275224-0015,before the day closed the gardener came whistling from his farm work to look over his pretty charges,"Before the day closed, the gardener came whistling from his farmwork to look over his pretty charges.",0.1111,0.0504
tiny.en,3000-15664-0006,only a little food will be required,Only a little food will be required.,0.0000,0.0282
tiny.en,8297-275155-0014,you shall hear how my divorced daughter and my poor little grandchild were treated at sandyseal after you left us,You shall hear how my divorce daughter and my poor little grandchild were treated at Sandy Seal after you left us.,0.1500,0.0552
tiny.en,3536-8226-0022,missus bozzle who well understood that business was business and that wives were not business felt no anger at this and handed her husband his best coat,"Mrs. Basel, who well understood that business was business and that wives were not business, felt no anger at this, and handed her husband his best coat.",0.0741,0.0651
tiny.en,5338-284437-0025,i have one great privilege,I have one great privilege.,0.0000,0.0252
tiny.en,2412-153948-0003,i reached my destination in one of the last months of eighteen sixty eight but i dare not mention the season lest the reader should gather in which hemisphere i was,"I reached my destination in one of the last months of 1868, but I dare not mention this season, lest the readers should gather in which hemisphere I was.",0.1613,0.0643
tiny.en,7850-281318-0018,criss cross criss cross so interrupted the wood pigeon,"Chris Cross, Chris Cross, so interrupted the wood pigeon.",0.2222,0.0337
tiny.en,6313-66125-0024,mebby you think he's having some sort of a picnic down there eh glared lige,"Maybe you think he's having some sort of a picnic down there, a layered light.",0.2667,0.0418
tiny.en,5895-34615-0008,the outside did not depend on the interior,The outside did not depend on the interior.,0.0000,0.0298
tiny.en,6345-64257-0009,she entered and the servants soft footed and silent were busy carrying away the vessels of hospitality and restoring order as if already they prepared for another company on the morrow no one heeded her,"She entered and the servants, soft-footed and silent, were busy carrying away the vessels of hospitality and restoring order, as if already they prepared for another company on the Marrow. No one he did her.",0.1429,0.0861
tiny.en,3752-4943-0015,impertinent young beggar said burgess,Impertinent young beggar said Burgess.,0.0000,0.0292
tiny.en,2035-147961-0006,i could not take my eyes off the man in the bed,I could not take my eyes off the man in the bed.,0.0000,0.0341
tiny.en,5694-64029-0020,we were not twenty yards off from the yankees and they were pouring the hot shot and shells right into our ranks and every man was yelling at the top of his voice cease firing you are firing on your own men cease firing you are firing on your own men,We were not 20 yards off from the Yankees and they were pouring the hot shot and shells right into our ranks And every man was yelling at the top of his voice sees firing you are firing on your own men sees firing you were firing on your own men,0.0784,0.0937
tiny.en,7976-110124-0021,pass the charm out to me then said the robber,"Pass the charm out to me then, so the rubber.",0.2000,0.0557
tiny.en,174-84280-0004,and already this astounding blow begins to take its place among other events as a thing strange and terrible indeed but related to all the strangeness and mystery of life part of the universal mysteries of despair and futility and death that have troubled my consciousness since childhood,"And already, this astounding blow begins to take its place among other events, as a thing strange and terrible indeed, but related to all the strangeness and mystery of life. Part of the universal mysteries of despair and futility and death that have troubled by consciousness since childhood.",0.0208,0.1559
tiny.en,6295-244435-0003,boats put out both from the fort and the shore,Boats put out both from the forward and the shore.,0.1000,0.0320
tiny.en,6241-66616-0017,a thousand plans were made a thousand adventures pictured and the mother would smile and laugh and plan with them,"A thousand plans were made, a thousand adventures pictured, and the mother would smile and laugh and plan with them.",0.0000,0.0473
tiny.en,2078-142845-0017,maize next to wheat and rice maize is the grain most used in the nourishment of man,"Mays. Next to wheat and rice, mazes the grain most used in the nourishment of man.",0.1765,0.0465
tiny.en,3752-4944-0064,it was as though he had reached the crisis of a disease which had been for days gathering force,"It was as though he had reached the crisis of a disease, which had been for days gathering force.",0.0000,0.0485
tiny.en,6313-76958-0012,stacy brown proved the only grumbler in the lot declaring that he could not sleep a wink on such a bed as that,"Sacey Brown proved the only grumbler in the lot, clearing that he could not sleep a week on such a bet as that.",0.1739,0.0571
tiny.en,2277-149896-0028,he put on his hat and looked around for his umbrella,He put on this hat and looked around for his umbrella.,0.0909,0.0326
tiny.en,2078-142845-0005,next take either a large tablespoonful of brewer's yeast which has been rendered solid by mixing it with plenty of cold water and letting it afterwards stand to settle for a day and night or nearly an ounce of german yeast put it into a large basin and proceed to mix it so that it shall be as smooth as cream with three quarters pint of warm milk and water or with water only though even a very little milk will much improve the bread,"Next, take either a large tablespoon full of brewer's yeast, which has been rendered solid by mixing it with plenty of cold water, and letting it afterwards stand to settle for a day and night, or nearly an ounce of German yeast. Put it into a large basin and proceed to mix it so that it shall be as smooth as cream, with three-quarter pint of warm milk and water, or with water only. So even a very little milk will much improve the bread.",0.0588,0.2562
tiny.en,7850-111771-0004,indeed if ever a general deserved honor grant had won it he had opened the mississippi to navigation and had captured nearly one hundred thousand prisoners and arms,"Indeed, if ever a general deserved honor, Grant had won it. He had opened the Mississippi to navigation and had captured nearly 100,000 prisoners and arms.",0.1071,0.1544
tiny.en,5338-284437-0027,a misfortune of birth placed me here and i cannot escape my fate,I'm a sports and a birthplace me here and I cannot escape my fate.,0.3846,0.0387
tiny.en,174-168635-0020,alas he walked with no less indecision than cosette,"Alas, he walked with no less indecision than Cozette.",0.1111,0.0361
tiny.en,174-50561-0016,once more the singer plays and the ladies dance but one by one they fall asleep to the drowsy music and then the singer steps into the ring and unlocks the tower and kisses the emperor's daughter,"Once more, the singer plays in the ladies dance. But one by one, they fall asleep to the drowsy music. And then the singer steps into the ring and unlocks the tower and kisses the emperor's daughter.",0.0270,0.0891
tiny.en,3752-4943-0026,oh mister north says kirkland why did you stop me,"Oh, Mr. North says Kirkland. Why did you stop me?",0.1000,0.0377
tiny.en,652-129742-0020,strain and bottle and put in ice box shake before using each time,strain and bottle and put in ice box. Shake before using each time.,0.0000,0.0418
tiny.en,1988-24833-0005,i explain that i'm taking music and also biology algebra english and french music he snorts,I explain that I'm taking music and also biology algebra English and French music. He snorts.,0.0000,0.0480
tiny.en,2412-153954-0001,my guides however were well known and the natural politeness of the people prevented them from putting me to any inconvenience but they could not help eyeing me nor i them,"My guides, however, were well known, and the natural politeness of the people prevented them from putting me to any inconvenience. But they could not help eyeing me nor eye them.",0.0323,0.0703
tiny.en,84-121123-0007,what do you mean sir,"What do you mean, sir?",0.0000,0.0272
tiny.en,422-122949-0016,what will the moral philosophers who appear at this time have to preach,What will the moral philosophers who appear at this time have to preach?,0.0000,0.0363
tiny.en,422-122949-0015,danger is again present the mother of morality great danger this time shifted into the individual into the neighbour and friend into the street into their own child into their own heart into all the most personal and secret recesses of their desires and volitions,"Danger is again present, the mother of morality, great danger. This time shifted into the individual, into the neighbor and friend, into the street, into their own child, into their own heart, into all the most personal and secret recesses of their desires and volitions.",0.0222,0.1262
tiny.en,1272-141231-0027,when the buzzer sounded he pulled his foil from his second's startled grasp and ran forward,"When the buzzer sounded, he pulled his foil from his second startled grasp and ran forward.",0.0625,0.0428
tiny.en,2428-83705-0023,i know what mamma can afford to give and i will see she gives it,I know what mama can afford to give and I will see if she gives it.,0.1333,0.0407
tiny.en,652-130726-0009,the cuisine is of the best and the chefs rank at the top of their art,The cuisine is of the best and the chefs rank at the top of their art.,0.0000,0.0403
tiny.en,2086-149220-0043,what an instrument is the human voice,What an instrument is the human voice.,0.0000,0.0281
tiny.en,5694-64029-0030,he was stone dead but i dropped that foot quick,"He was stoned dead, but I dropped that foot quick.",0.1000,0.0345
tiny.en,6345-93306-0001,the young man drew a deep breath of relief and lighted the wax candles in the solid silver candlesticks on his writing table for now the late summer dusk was falling and that organ please heaven made full the measure of the day's appointed torture,"The young man drew a deep breath of relief, and lighted the wax candles in the solid silver candle sticks on his writing table. For now the late summer dusk was falling and that organ, please heaven, made full the measure of the day's appointed torture.",0.0444,0.1240
tiny.en,7850-281318-0000,some are wonderfully wrought pretty little homes for birdikins,"Some are wonderfully wrought, pretty little homes for birdigans.",0.1111,0.0335
tiny.en,3081-166546-0020,he wants me to stand ready to obey any summons the police may send me,He wants me to stand ready to obey any summons the police may send me.,0.0000,0.0386
tiny.en,1673-143396-0004,he lived and died for the service of mankind but the life and death of socrates had likewise been devoted to the cause of religion and justice and although the stoic or the hero may disdain the humble virtues of jesus the tears which he shed over his friend and country may be esteemed the purest evidence of his humanity,"He lived and died for the service of mankind, but the life and death of Socrates had likewise been devoted to the cause of religion and justice. And although the stoic or the hero may disdain the humble virtues of Jesus, the tears which he shed over his friend and country may be esteemed the purest evidence of his humanity.",0.0000,0.1350
tiny.en,3752-4944-0011,the devil he is i heard something about it too,"The devil he is, I heard something about it too.",0.0000,0.0333
tiny.en,1272-135031-0001,he has gone and gone for good answered polychrome who had managed to squeeze into the room beside the dragon and had witnessed the occurrences with much interest,He has gone and gone for good. Antered polychrome who had managed to squeeze into the room beside the dragon and had witnessed the occurrences with much interest.,0.0357,0.0675
tiny.en,5536-43363-0000,reincarnation and the converse of spirits,We incarnation in the converse of spirits.,0.5000,0.0449
tiny.en,7976-105575-0018,go back to the regiment he said smiling all will be needed,Go back to the regiment he said smiling all will be needed.,0.0000,0.0560
tiny.en,2412-153947-0006,but this had an effect of which i have little reason to complain for i was allowed almost to call them life long self deceivers to their faces and they said it was quite true but that it did not matter,"But this had an effect of which I have little reason to complain for I was allowed almost to call them lifelong self-decevers to their faces. And they said it was quite true, but that it did not matter.",0.0976,0.0998
tiny.en,3576-138058-0023,it is not true then said claudia that thou wert going this morning to marry leonora the daughter of the rich balvastro,"It is not true then, Ziklarya. That we're going this morning to Mary Leonora, the daughter of the rich Balvestrol.",0.2727,0.0622
tiny.en,1462-170142-0036,you ask me to stay away from you because you want me,You ask me to stay away from you because you want me?,0.0000,0.0425
tiny.en,1462-170145-0003,of course i know bartley she said at last that after this you won't owe me the least consideration but we sail on tuesday,"Of course, I know, Bartley,"" she said at last, that after this you won't owe me the least consideration. But we sail on Tuesday.",0.0000,0.0676
tiny.en,777-126732-0050,he took the cash box out of the drawer and turning to leave the shop became aware that stevie was still downstairs,He took the cash box out of the drawer and turning to leave the shop became aware that Stevie was still downstairs,0.0000,0.0477
tiny.en,84-121550-0019,in rear of all the group here treated of two old men i beheld unlike in habit but like in gait each dignified and grave,"In rear of all the group here treated of two old men I be held, unlike in habit, but like in gate, each dignified and grave.",0.1200,0.0621
tiny.en,3536-23268-0002,yet did the watchful miss woodley oftentimes hear a sigh escape from her unknown to herself till she was reminded of it and then a sudden blush would instantly overspread her face,"Yet did the watchful miss Woodley oftentimes hear a sigh escape from her unknown to herself till she was reminded of it, and then a sudden blush would instantly over-spread her face.",0.0000,0.0725
tiny.en,1462-170138-0017,sir harry towne bowed and said that he had met mister alexander and his wife in tokyo,Sir Harry Town bowed and said that he had met Mr. Alexander and his wife in Tokyo.,0.1176,0.0458
tiny.en,1462-170142-0033,bartley leaned his head in his hands and spoke through his teeth,Bartley leaned his head in his hands and spoke through his teeth.,0.0000,0.0358
tiny.en,2277-149874-0011,he seemed to be thinking of something else,He seemed to be thinking of something else.,0.0000,0.0292
tiny.en,5694-64029-0026,as i went back to the field hospital i overtook another man walking along,"As I went back to the field hospital, I overtook another man walking along.",0.0000,0.0538
tiny.en,3081-166546-0035,at least that is what we hope,at least that is what we hope.,0.0000,0.0284
tiny.en,5895-34629-0005,it was a theatre ready made,It was a theater ready made.,0.1667,0.0267
tiny.en,2035-147960-0013,otto fuchs was the first one we met,I don't focus was the first one we met.,0.3750,0.0318
tiny.en,5694-64038-0012,the poor fellow stayed in that well all night,The poor fella stayed in that well all night.,0.1111,0.0497
tiny.en,5895-34622-0009,unknown people had worked upon his face he on the other hand had worked on his mind and behind this well executed mask he had placed all that he could of thought,"Unknown people had worked upon his face. He, on the other hand, had worked on his mind. And behind this well-executed mask, he had placed all that he could have thought.",0.0938,0.0761
tiny.en,2277-149896-0030,he began to wish that he had compromised in some way or other that he had sent the money perhaps he could do it up here,"He began to wish that he had compromised in some way or other, that he had sent the money. Perhaps he could do it up here.",0.0000,0.0592
tiny.en,3853-163249-0043,nothing can part us any more not even death for love like ours will last for ever,"Nothing can part us anymore, not even death, for love like ours will last forever.",0.2353,0.0413
tiny.en,1462-170145-0001,over the fireplace there was a large old fashioned gilt mirror,Over the fireplace there was a large old-fashioned guilt mirror.,0.2727,0.0348
tiny.en,2086-149220-0042,but put it on the table in the corner of the passage,but put it on the table in the corner of the passage.,0.0000,0.0345
tiny.en,7976-110523-0014,grethel began to cry but it was all useless for the old witch made her do as she wanted,"Gretel began to cry, but it was all useless for the old witch made her do as she wanted.",0.0526,0.0626
tiny.en,3853-163249-0026,it would have taken many knapsacks to hold all the gifts showered upon him by his friends and neighbors,It would have taken many knapsacks to hold all the gift-shoured upon him by his friends and neighbors.,0.1053,0.0488
tiny.en,7976-110523-0017,creep in said the witch and see if it is hot enough and then we will put in the bread but she intended when grethel got in to shut up the oven and let her bake so that she might eat her as well as hansel,"Creep ends at the witch and see if it is hot enough, and then we will put in the bread. But she intended when Gretel got in to shut up the oven and let her bake so that she might eat her as well as Hansel.",0.0652,0.0931
tiny.en,3853-163249-0048,the roses are for they remind me of poor helen and the first work i did with david was arranging flowers like these for a dead baby's little coffin,"The roses are, for they remind me of poor Helen, and the first work I did with David was arranging flowers like these for a dead baby's little coffin.",0.0000,0.0927
tiny.en,2035-152373-0000,throughout this century the power of the church was constantly on the increase and is visible in many important changes,"Throughout the century, the power of the church was constantly on the increase and is visible in many important changes.",0.0500,0.0478
tiny.en,2277-149874-0020,it gave an imposing appearance to most of the wholesale houses whose offices were upon the ground floor and in plain view of the street,"It gave an imposing appearance to most of the wholesale houses, whose offices were up on the ground floor and in plain view of the street.",0.0800,0.0545
tiny.en,1272-135031-0020,i don't believe ann knew any magic or she'd have worked it before,I don't believe and knew any magic or she'd have worked it before.,0.0769,0.0640
tiny.en,6295-64301-0011,letty finding herself not quite equal to the emergency came in her turn to call mary she went as quietly as if she were leaving a tiresome visitor,Letty finding herself not quite equal to the emergency came in her turn to call Mary. She went as quietly as if she were leaving a tiresome visitor.,0.0000,0.0633
tiny.en,5895-34622-0020,ursus was the poet of these magical representations he wrote the pieces,Erceus was the poet of these magical representations. He wrote the pieces.,0.0833,0.0384
tiny.en,174-84280-0013,in mary it seems to me i found both womanhood and fellowship i found what many have dreamt of love and friendship freely given and i could do nothing but clutch at her to make her my possession,"In Mary it seems to me, I found both womanhood and fellowship. I found what many have dreamt of, love and friendship freely given. And I could do nothing but clutch at her to make her my possession.",0.0000,0.1053
tiny.en,3752-4944-0038,he has the strangest fits at times,He is the strangest fits at times.,0.1429,0.0293
tiny.en,3081-166546-0039,no word no cry just a collapse and sudden fall,"No word, no cry, just to collapse and sudden fall.",0.1000,0.0446
tiny.en,3576-138058-0020,nobody need have any doubt about that said sancho for my master has a very happy knack of matchmaking it's not many days since he forced another man to marry who in the same way backed out of his promise to another maiden and if it had not been for his persecutors the enchanters changing the man's proper shape into a lacquey's the said maiden would not be one this minute,"Nobody need have any doubt about that,"" said Sancho. For my master has a very happy knack of matchmaking. It's not many days since he forced another man to marry, who, in the same way, backed out of his promise to another maiden. And if it had not been for his persecutors, the enchantors, changing the man's proper shape into a lackeys, the said maiden would not be won this minute.",0.0423,0.1917
tiny.en,2803-154328-0018,their fingers bled but still they worked on after half an hour they had gone three feet deep they perceived by the increased sharpness of the sounds that only a thin layer of earth prevented immediate communication,"Their fingers bled, but still they worked on. After a half an hour they had gone three feet deep. They perceived by the increased sharpness of the sounds that only a thin layer of earth prevented immediate communication.",0.0270,0.1361
